title,author,publishedDate,authorBirthDate,authorPublishedDateAge
星の子,今村夏子,2017/06,1980/02,37
こちらあみ子,今村夏子,2014/06,1980/02,34
木になった亜沙,今村夏子,2023/04,1980/02,43
むらさきのスカートの女,今村夏子,2022/06,1980/02,42
とんこつQ&A,今村夏子,2022/07,1980/02,42
あひる,今村夏子,2016/11,1980/02,36
星の子,今村夏子,2019/12,1980/02,39
むらさきのスカートの女,今村夏子,2022/06,1980/02,42
父と私の桜尾通り商店街,今村夏子,2022/01,1980/02,41
あひる,今村夏子,2019/01,1980/02,38
とんこつＱ＆Ａ,今村夏子,2022/07,1980/02,42
父と私の桜尾通り商店街,今村夏子,2019/02,1980/02,39
カム・ギャザー・ラウンド・ピープル,高山羽根子,2019/07,1975/05,44
パレードのシステム,高山羽根子,2023/01,1975/05,47
首里の馬,高山羽根子,2020/07,1975/05,45
暗闇にレンズ,高山羽根子,2020/09,1975/05,45
うどん キツネつきの,高山羽根子,2016/11,1975/05,41
旅書簡集 ゆきあってしあさって,高山羽根子,2022/01,1975/05,46
オブジェクタム,高山羽根子,2018/08,1975/05,43
如何様,高山羽根子,2019/12,1975/05,44
オブジェクタム/如何様,高山羽根子,2022/07,1975/05,47
ビースト・ストランディング-Genesis SOGEN Japanese SF anthology 2018-,高山羽根子,2018/12,1975/05,43
ほんとうの旅-Genesis SOGEN Japanese SF anthology 2021-,高山羽根子,2021/10,1975/05,46
蜂蜜いりのハーブ茶-Space : The Anthology of SOGEN SF Short Story Prize Winners-,高山羽根子,2019/10,1975/05,44
ラッコの家,古川真人,2019/07,1988/07,31
ギフトライフ,古川真人,2023/03,1988/07,34
縫わんばならん,古川真人,2017/01,1988/07,28
四時過ぎの船,古川真人,2017/07,1988/07,29
幸福な水夫,木村友祐,2017/12,1970/09,47
イサの氾濫,木村友祐,2016/03,1970/09,45
海猫ツリーハウス,木村友祐,2010/02,1970/09,39
野良ビトたちの燃え上がる肖像,木村友祐,2016/11,1970/09,46
聖地Cs,木村友祐,2014/08,1970/09,43
肉骨茶,高尾長良,2013/02,1992/01,21
音に聞く,高尾長良,2019/11,1992/01,27
影媛,高尾長良,2015/02,1992/01,23
私小説,尾崎世界観,2023/02,1984/11,38
本物の読書家,乗代雄介,2017/11,1986/06,31
十七八より,乗代雄介,2015/08,1986/06,29
ミック・エイヴォリーのアンダーパンツ,乗代雄介,2020/07,1986/06,34
旅する練習,乗代雄介,2021/01,1986/06,34
最高の任務,乗代雄介,2020/01,1986/06,33
パパイヤ・ママイヤ,乗代雄介,2022/05,1986/06,35
皆のあらばしり,乗代雄介,2021/12,1986/06,35
鳥獣戯画／我が人生最悪の時,磯崎憲一郎,2021/10,1965/02,56
掠れうる星たちの実験,乗代雄介,2021/12,1986/06,35
推し、燃ゆ,宇佐見りん,2020/09,1999/05,21
かか,宇佐見りん,2019/11,1999/05,20
くるまの娘,宇佐見りん,2022/05,1999/05,23
祐介,尾崎世界観,2016/06,1984/11,31
苦汁100%,尾崎世界観,2017/05,1984/11,32
私語と,尾崎世界観,2022/04,1984/11,37
犬も食わない,尾崎世界観,2018/10,1984/11,33
苦汁100% 濃縮還元,尾崎世界観,2020/05,1984/11,35
祐介・字慰,尾崎世界観,2019/05,1984/11,34
苦汁200%,尾崎世界観,2018/03,1984/11,33
苦汁２００％ ストロング,尾崎世界観,2021/05,1984/11,36
泣きたくなるほど嬉しい日々に,尾崎世界観,2023/01,1984/11,38
母影,尾崎世界観,2021/01,1984/11,36
苦汁200% ストロング,尾崎世界観,2021/05,1984/11,36
身のある話と、歯に詰まるワタシ,尾崎世界観,2020/06,1984/11,35
犬も食わない（新潮文庫）,尾崎世界観,2022/12,1984/11,38
私小説,尾崎世界観,2023/02,1984/11,38
ブラックボックス,砂川文次,2022/01,1990/04,31
小隊,砂川文次,2022/05,1990/04,32
臆病な都市,砂川文次,2020/07,1990/04,30
貝に続く場所にて,石沢麻依,2021/07,1980/01,41
月の三相,石沢麻依,2022/08,1980/01,42
うたうおばけ,くどうれいん,2020/04,1994/01,26
氷柱の声,くどうれいん,2021/07,1994/01,27
あんまりすてきだったから,くどうれいん,2022/06,1994/01,28
虎のたましい人魚の涙,くどうれいん,2022/09,1994/01,28
プンスカジャム,くどうれいん,2021/09,1994/01,27
おいしいごはんが食べられますように,高瀬隼子,2022/03,1988/01,34
犬のかたちをしているもの,高瀬隼子,2020/02,1988/01,32
水たまりで息をする,高瀬隼子,2021/07,1988/01,33
ケチる貴方,石田夏穂,2023/01,1991/01,32
我が友、スミス,石田夏穂,2022/01,1991/01,31
Schoolgirl,九段理江,2022/01,1990/01,32
オン・ザ・プラネット,島口大樹,2022/01,1998/01,24
鳥がぼくらは祈り、,島口大樹,2021/07,1998/01,23
遠い指先が触れて,島口大樹,2022/08,1998/01,24
家庭用安心坑夫,小砂川チト,2022/07,1990/01,32
グレイスレス,鈴木涼美,2023/01,1983/07,39
すべてを手に入れたってしあわせなわけじゃない,鈴木涼美,2019/11,1983/07,36
ギフテッド,鈴木涼美,2022/07,1983/07,39
ドール,山下紘加,2015/11,1994/01,21
あくてえ,山下紘加,2022/07,1994/01,28
クロス,山下紘加,2020/04,1994/01,26
エラー,山下紘加,2021/05,1994/01,27
この世の喜びよ,井戸川射子,2022/11,1987/12,34
ここはとても速い川,井戸川射子,2022/12,1987/12,35
遠景,井戸川射子,2022/06,1987/12,34
荒地の家族,佐藤厚志,2023/01,1982/02,40
象の皮膚,佐藤厚志,2021/06,1982/02,39
ジャクソンひとり,安堂ホセ,2022/11,1994/01,28
